epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.4613,2.07183,3.48116,2.04133,0.01784,0.16854,0.01023,0.00382,2.55005,105.734,7.20259,0.000649573,0.000649573,0.000649573
2,42.8665,2.0235,2.96812,2.06009,0,0,0,0,3.3608,1859.21,24.7042,0.00129018,0.00129018,0.00129018
3,58.7133,2.08864,2.72824,2.14916,0,0,0,0,nan,nan,nan,0.00190438,0.00190438,0.00190438
4,74.3276,1.93374,2.31208,1.97139,0.00053,0.1573,0.00033,0.0001,4.24464,inf,28.8416,0.0018812,0.0018812,0.0018812
5,90.1817,1.84509,2.13004,1.88771,0.28729,0.1573,0.10321,0.05603,3.30233,6.83901,6.05716,0.0018416,0.0018416,0.0018416
6,106.844,1.7059,1.94697,1.78158,0.52331,0.46067,0.44805,0.23052,1.84253,11.1461,3.15508,0.001802,0.001802,0.001802
7,126.292,1.61381,1.86572,1.75955,0.50325,0.43259,0.45376,0.288,1.94141,16.3407,2.43334,0.0017624,0.0017624,0.0017624
8,142.733,1.5544,1.76837,1.68639,0.76489,0.36561,0.46024,0.31427,1.98595,2.83338,2.30103,0.0017228,0.0017228,0.0017228
9,158.934,1.42681,1.60161,1.55996,0.33973,0.53933,0.38781,0.22556,1.69644,7.28111,2.1167,0.0016832,0.0016832,0.0016832
10,178.905,1.40599,1.53829,1.56004,0.83641,0.55056,0.68799,0.49121,1.35984,1.47053,1.58922,0.0016436,0.0016436,0.0016436
11,195.73,1.36784,1.45025,1.50088,0.42797,0.26966,0.3089,0.18949,1.98275,2.31641,2.21782,0.001604,0.001604,0.001604
12,214.282,1.30606,1.38021,1.4975,0.79564,0.5618,0.73565,0.48252,1.46696,2.72105,1.80565,0.0015644,0.0015644,0.0015644
13,230.873,1.32279,1.36321,1.51482,0.61232,0.69663,0.7096,0.45169,1.33482,2.30095,1.60162,0.0015248,0.0015248,0.0015248
14,247.394,1.23347,1.25165,1.3883,0.85764,0.54154,0.69722,0.45612,1.24155,2.3076,1.55119,0.0014852,0.0014852,0.0014852
15,265.166,1.24498,1.27713,1.40435,0.8507,0.78652,0.86967,0.6187,1.18016,1.23278,1.46032,0.0014456,0.0014456,0.0014456
16,281.498,1.23578,1.22708,1.38207,0.86594,0.66292,0.77826,0.50252,1.28712,1.58423,1.47295,0.001406,0.001406,0.001406
17,300.558,1.16221,1.14799,1.34295,0.94508,0.77346,0.89175,0.64944,1.06326,1.53957,1.36869,0.0013664,0.0013664,0.0013664
18,317.265,1.1137,1.13236,1.32685,0.90908,0.78638,0.89284,0.65989,0.94975,1.0673,1.26579,0.0013268,0.0013268,0.0013268
19,334.571,1.14558,1.15156,1.33154,0.83798,0.76404,0.87236,0.64113,1.01125,1.08932,1.30447,0.0012872,0.0012872,0.0012872
20,350.49,1.09324,1.06752,1.28689,0.83828,0.69892,0.82732,0.59752,1.07239,1.18571,1.30053,0.0012476,0.0012476,0.0012476
21,366.297,1.06819,1.00741,1.26305,0.84991,0.75281,0.88772,0.66712,0.96361,1.06499,1.28189,0.001208,0.001208,0.001208
22,383.241,1.04366,0.99412,1.24994,0.95034,0.86012,0.92664,0.67751,1.02761,0.90191,1.31258,0.0011684,0.0011684,0.0011684
23,402.964,1.03003,0.98071,1.25227,0.81693,0.7191,0.79608,0.5755,1.05994,1.12339,1.29299,0.0011288,0.0011288,0.0011288
24,419.665,1.06042,1.05033,1.28847,0.99612,0.8764,0.93957,0.6882,1.02664,0.97625,1.29565,0.0010892,0.0010892,0.0010892
25,437.353,1.00856,0.96942,1.2346,0.84637,0.86664,0.93257,0.68317,1.04834,0.86965,1.27264,0.0010496,0.0010496,0.0010496
26,456.035,0.99465,0.94007,1.22919,0.95828,0.86517,0.93634,0.68871,0.99737,0.84067,1.23734,0.00101,0.00101,0.00101
27,472.454,0.95936,0.88754,1.21158,0.86682,0.7191,0.83622,0.62436,1.02888,1.04706,1.24911,0.0009704,0.0009704,0.0009704
28,491.985,0.95452,0.90155,1.21912,0.93863,0.8427,0.92596,0.68848,0.96866,0.94353,1.24,0.0009308,0.0009308,0.0009308
29,509.694,0.92073,0.86322,1.19132,0.91227,0.83146,0.92343,0.71276,0.9881,1.11011,1.26929,0.0008912,0.0008912,0.0008912
